vehicle_id,label
0408,1
0404,1
0436,1
0383,1
0082,1
0355,1
0065,1
0069,1
0312,1
0395,1
0318,1
0287,1
0014,1
0356,1
0242,1
0332,1
0464,1
0251,1
0307,1
0261,1
0469,1
0286,1
0394,1
0411,1
0390,1
0256,1
0446,1
0074,1
0055,1
0037,1
0401,1
0379,1
0465,1
0444,1
0073,1
0297,1
0026,1
0017,1
0349,1
0038,1
0324,1
0317,1
0347,1
0294,1
0264,1
0466,1
0472,1
0259,1
0255,1
0418,1
0283,1
0373,1
0288,1
0473,1
0041,1
0244,1
0296,1
0282,1
0367,1
0281,1
0279,1
0304,1
0265,1
0048,1
0431,1
0040,1
0262,1
0246,1
0059,1
0022,1
0266,1
0420,1
0445,1
0079,1
0374,1
0442,1
0277,1
0476,4
0042,4
0020,4
0393,4
0435,4
0330,4
0090,4
0067,4
0092,4
0388,4
0089,4
0360,4
0342,4
0087,4
0252,4
0285,4
0428,4
0057,4
0263,4
0045,4
0362,4
0243,4
0371,4
0009,4
0051,4
0313,4
0310,4
0462,4
0300,4
0016,4
0063,2
0415,2
0010,2
0416,2
0046,2
0454,2
0329,2
0257,2
0433,2
0389,2
0071,2
0021,2
0341,2
0340,2
0447,2
0412,2
0303,2
0253,2
0382,2
0403,2
0348,2
0417,2
0432,2
0396,2
0457,2
0471,2
0062,2
0274,2
0027,2
0453,2
0397,2
0375,2
0370,2
0407,2
0452,2
0385,2
0088,2
0378,2
0320,2
0467,2
0024,2
0284,2
0402,2
0311,2
0072,2
0337,2
0461,2
0013,2
0339,2
0359,2
0061,2
0456,2
0322,2
0331,2
0001,2
0351,2
0364,2
0070,2
0365,2
0392,2
0319,2
0003,2
0080,2
0463,2
0249,2
0269,2
0036,2
0366,2
0254,2
0039,2
0058,2
0068,2
0377,2
0056,5
0035,5
0325,7
0031,3
0405,3
0085,3
0033,3
0306,3
0060,3
0245,3
0376,3
0025,3
0267,3
0361,3
0007,3
0406,3
0011,3
0260,3
0314,3
0368,3
0323,3
0478,3
0305,3
0077,3
0301,3
0343,3
0086,3
0030,3
0015,3
0047,3
0430,3
0302,3
0050,3
0344,3
0427,3
0423,3
0028,3
0298,3
0002,3
0391,3
0248,3
0443,3
0386,3
0019,3
0004,3
0448,6
0425,6
0270,8
0273,8
0460,8
